numero,nif_proveedor,importe,estado,pagado
PO-2026-0716,B98120774,3690.50,PENDIENTE,no
PO-2026-0801,B90233808,2081.20,PENDIENTE,no
PO-2026-0802,J40112358,4295.10,PENDIENTE,no
PO-2026-0803,A46990201,1076.90,PAGADA,si
PO-2026-0804,B46102331,3025.00,PENDIENTE,no
PO-2026-0805,A46311208,7502.00,PENDIENTE,no
PO-2026-0807,B98455101,1754.50,PENDIENTE,no
PO-2026-0808,B96233419,2480.50,PENDIENTE,no
PO-2026-0809,A41220987,943.80,PENDIENTE,no
PO-2026-0810,B91455230,1403.60,PENDIENTE,no
PO-2026-0811,B30455812,2662.00,PENDIENTE,no
PO-2026-0812,B98120774,1149.50,PENDIENTE,no
PO-2026-0813,B90233808,2541.00,PENDIENTE,no
PO-2026-0814,J40112358,2020.70,PAGADA,si
PO-2026-0815,A41220987,6540.90,PENDIENTE,no
PO-2026-0816,A46990201,3388.00,PENDIENTE,no
PO-2026-0717,B46102331,1984.40,PENDIENTE,no
PO-2026-0718,B98120774,1113.20,PENDIENTE,no
PO-2026-0719,A41220987,3000.80,PENDIENTE,no
PO-2026-0721,B30455812,919.60,PENDIENTE,no
PO-2026-0723,B90233808,1560.90,PENDIENTE,no
PO-2026-0724,A46311208,6425.10,PENDIENTE,no
PO-2026-0725,B98455101,2274.80,PENDIENTE,no
PO-2026-0726,B96233419,2480.50,PENDIENTE,no
PO-2026-0728,B98120774,774.40,PENDIENTE,no
PO-2026-0729,B91455230,3000.80,PENDIENTE,no
PO-2026-0730,J40112358,477.95,PENDIENTE,no
PO-2026-0731,B30455812,2262.70,PENDIENTE,no
PO-2026-0732,B90233808,2480.50,PENDIENTE,no
PO-2026-1201,B46102331,1718.20,PENDIENTE,no
PO-2026-1202,A41220987,2637.80,PENDIENTE,no
PO-2026-1204,A46990201,3944.60,PENDIENTE,no
PO-2026-1205,B30455812,3025.00,PENDIENTE,no
PO-2026-1206,B98455101,1427.80,PENDIENTE,no
PO-2026-0500,A41220987,3139.66,PENDIENTE,no
PO-2026-0504,A46990201,6483.85,PENDIENTE,no
PO-2026-0509,B30455812,5347.84,PENDIENTE,no
PO-2026-0512,B30455812,3679.88,PENDIENTE,no
PO-2026-0517,B98455101,4047.50,PENDIENTE,no
PO-2026-0518,J40112358,6070.03,PENDIENTE,no
PO-2026-0519,J40112358,2041.79,PENDIENTE,no
PO-2026-0520,J40112358,3662.83,PENDIENTE,no
PO-2026-0523,B46102331,4905.29,PENDIENTE,no
PO-2026-0524,B30455812,3625.60,PENDIENTE,no
PO-2026-0526,B46102331,5861.75,PENDIENTE,no
PO-2026-0528,A46990201,1008.01,PENDIENTE,no
PO-2026-0529,A46311208,3496.74,PENDIENTE,no
PO-2026-0530,B98120774,6778.69,PENDIENTE,no
PO-2026-0531,B46102331,2211.67,PENDIENTE,no
PO-2026-0532,B96233419,6827.57,PENDIENTE,no
PO-2026-0533,A41220987,6668.98,PENDIENTE,no
PO-2026-0534,B46102331,9457.00,PENDIENTE,no
PO-2026-0535,B98455101,2120.10,PENDIENTE,no
PO-2026-0536,A46990201,943.80,PENDIENTE,no
PO-2026-0537,B98455101,15596.90,PENDIENTE,no
PO-2026-1301,B46102331,1500.40,PENDIENTE,no
PO-2026-1302,A41220987,2254.00,PENDIENTE,no
PO-2026-1303,A41220987,943.80,PENDIENTE,no
PO-2026-1304,B30455812,1427.80,PENDIENTE,no
PO-2026-1305,B98120774,1113.20,PENDIENTE,no
PO-2026-1306,FR40303265045,1887.60,PENDIENTE,no
PO-2026-1307,A46990201,2831.40,PENDIENTE,no
PO-2026-1308,DE812345678,3775.20,PENDIENTE,no
PO-2026-1309,5010401075570,5244.50,PENDIENTE,no
PO-2026-1310,A46990201,3174.00,PENDIENTE,no
PO-2026-1311,B90233808,3393.00,PENDIENTE,no
PO-2026-1312,B98455101,4410.00,PENDIENTE,no
PO-2026-1313,12.345.678/0001-95,2500.00,PENDIENTE,no
PO-2026-1314,B98120774,2290.00,PENDIENTE,no
PO-2026-1315,DE812345678,5670.00,PENDIENTE,no
PO-2026-1316,B90233808,629.20,PENDIENTE,no
PO-2026-1317,J40112358,822.80,PENDIENTE,no
PO-2026-1318,B46102331,1815.00,PENDIENTE,no
