Pedido,ProveedorID,NIF,Importe_Total,Estado,Fecha_Pedido
PO-2026-0432,P005,B96233419,5530.16,ABIERTO,2026-04-18
PO-2026-0433,P005,B96233419,6586.55,ABIERTO,2026-04-15
PO-2026-0434,P003,B30455812,6436.75,ABIERTO,2026-06-28
PO-2026-0435,P001,B46102331,9846.469999999999,ABIERTO,2026-03-28
PO-2026-0436,P005,B96233419,962.26,ABIERTO,2026-06-21
PO-2026-0437,P010,B98455101,4855.28,ABIERTO,2026-06-20
PO-2026-0438,P004,B98120774,9618.18,ABIERTO,2026-03-01
PO-2026-0439,P010,B98455101,3392.74,ABIERTO,2026-03-23
PO-2026-0440,P001,B46102331,8744.16,ABIERTO,2026-07-27
PO-2026-0441,P010,B98455101,5297.94,ABIERTO,2026-06-30
PO-2026-0442,P010,B98455101,7866.43,ABIERTO,2026-02-27
PO-2026-0443,P008,B91455230,8617.09,ABIERTO,2026-02-13
PO-2026-0444,P002,A41220987,1899.02,ABIERTO,2026-03-20
PO-2026-0445,P004,B98120774,8775.139999999999,ABIERTO,2026-06-12
PO-2026-0446,P001,B46102331,1166.03,ABIERTO,2026-05-02
PO-2026-0447,P003,B30455812,8945.049999999999,ABIERTO,2026-04-16
PO-2026-0448,P004,B98120774,5115.42,ABIERTO,2026-07-09
PO-2026-0449,P001,B46102331,10869.07,ABIERTO,2026-02-04
PO-2026-0450,P008,B91455230,9527.040000000001,ABIERTO,2026-07-09
PO-2026-0451,P002,A41220987,10564.53,ABIERTO,2026-04-09
PO-2026-0452,P001,B46102331,5030.16,ABIERTO,2026-04-10
PO-2026-0454,P011,B90233808,10541.08,ABIERTO,2026-01-07
PO-2026-0455,P002,A41220987,7050.83,ABIERTO,2026-07-30
PO-2026-0456,P002,A41220987,10062.13,ABIERTO,2026-04-28
PO-2026-0457,P007,J40112358,5015.79,ABIERTO,2026-03-01
PO-2026-0458,P010,B98455101,10063.73,ABIERTO,2026-05-04
PO-2026-0459,P004,B98120774,5573.45,ABIERTO,2026-02-28
PO-2026-0460,P004,B98120774,2850.03,ABIERTO,2026-03-11
PO-2026-0461,P001,B46102331,10829.54,ABIERTO,2026-06-07
PO-2026-0462,P008,B91455230,5993.96,ABIERTO,2026-06-26
PO-2026-0463,P007,J40112358,9597.200000000001,ABIERTO,2026-03-05
PO-2026-0464,P002,A41220987,8074.31,ABIERTO,2026-04-12
PO-2026-0465,P002,A41220987,9908.18,ABIERTO,2026-06-01
PO-2026-0467,P001,B46102331,6649.23,ABIERTO,2026-05-09
PO-2026-0468,P001,B46102331,7606.8,ABIERTO,2026-05-18
PO-2026-0469,P001,B46102331,5817.98,ABIERTO,2026-01-25
PO-2026-0470,P006,A46990201,5335.7,ABIERTO,2026-04-27
PO-2026-0471,P003,B30455812,1449.86,ABIERTO,2026-05-28
PO-2026-0472,P006,A46990201,3388.18,ABIERTO,2026-06-30
PO-2026-0473,P011,B90233808,2083.37,ABIERTO,2026-03-18
PO-2026-0474,P007,J40112358,1388.33,ABIERTO,2026-06-25
PO-2026-0475,P001,B46102331,398.04,ABIERTO,2026-05-24
PO-2026-0476,P002,A41220987,2551.64,ABIERTO,2026-03-28
PO-2026-0477,P004,B98120774,1240.84,ABIERTO,2026-03-08
PO-2026-0478,P004,B98120774,1564.38,ABIERTO,2026-07-23
PO-2026-0479,P004,B98120774,459.33,ABIERTO,2026-07-17
PO-2026-0480,P011,B90233808,524.98,ABIERTO,2026-07-05
PO-2026-0481,P011,B90233808,1135.2,ABIERTO,2026-02-02
PO-2026-0482,P004,B98120774,1426.4,ABIERTO,2026-03-03
PO-2026-0483,P004,B98120774,1855.57,ABIERTO,2026-04-21
PO-2026-0484,P011,B90233808,2055.48,ABIERTO,2026-05-29
PO-2026-0485,P011,B90233808,1009.43,ABIERTO,2026-03-08
PO-2026-0486,P011,B90233808,268.08,ABIERTO,2026-02-28
PO-2026-0487,P011,B90233808,1518.79,ABIERTO,2026-01-13
PO-2026-0488,P004,B98120774,877.63,ABIERTO,2026-05-06
PO-2026-0489,P011,B90233808,1410.74,ABIERTO,2026-06-11
PO-2026-0490,P011,B90233808,2644.36,ABIERTO,2026-05-03
PO-2026-0491,P004,B98120774,2229.3,ABIERTO,2026-05-26
PO-2026-0492,P005,B96233419,1512.5,ABIERTO,2026-04-07
PO-2026-0493,P006,A46990201,12847.4,ABIERTO,2026-06-14
PO-2026-0494,P002,A41220987,3799.4,ABIERTO,2026-07-29
PO-2026-0495,P008,B91455230,1137.4,ABIERTO,2026-03-19
PO-2026-0496,P003,B30455812,3630,ABIERTO,2026-03-04
PO-2026-0497,P009,A46311208,84700,ABIERTO,2026-07-01
PO-2026-0498,P011,B90233808,2395.8,ABIERTO,2026-06-18
PO-2026-0538,P004,,234.98,ABIERTO,2026-02-08
PO-2026-0539,P003,,2155.97,ABIERTO,2026-04-06
PO-2026-0540,P004,,2842.92,ABIERTO,2026-07-19
PO-2026-0541,P006,,1457.75,ABIERTO,2026-04-23
PO-2026-0542,P004,,4108,ABIERTO,2026-07-30
PO-2026-0543,P010,,473.7,ABIERTO,2026-03-31
PO-2026-0544,P005,,4702.06,ABIERTO,2026-04-05
PO-2026-0545,P008,,4061.76,ABIERTO,2026-06-12
PO-2026-0546,P007,,2738.78,ABIERTO,2026-04-23
PO-2026-0547,P010,,4340.98,ABIERTO,2026-05-23
PO-2026-0548,P008,,3517.5,ABIERTO,2026-07-06
PO-2026-0549,P003,,1596.38,ABIERTO,2026-03-13
PO-2026-0550,P006,,676.9400000000001,ABIERTO,2026-02-08
PO-2026-0551,P003,,1124.05,ABIERTO,2026-05-03
PO-2026-0552,P003,,236.06,ABIERTO,2026-02-11
PO-2026-0553,P001,,1027.83,ABIERTO,2026-07-30
PO-2026-0554,P003,,2465.93,ABIERTO,2026-04-10
PO-2026-0555,P007,,1305.27,ABIERTO,2026-06-01
PO-2026-0556,P007,,4969.84,ABIERTO,2026-06-22
PO-2026-0557,P001,,2508.08,ABIERTO,2026-04-30
PO-2026-0701,P002,A41220987,3170.2,ABIERTO,2026-06-12
PO-2026-0702,P006,A46990201,10125.3,ABIERTO,2026-05-04
PO-2026-0703,P004,B98120774,1802.9,ABIERTO,2026-04-21
PO-2026-0704,P003,B30455812,5082,ABIERTO,2026-03-09
PO-2026-0705,P008,B91455230,1306.8,ABIERTO,2026-04-14
PO-2026-0707,P005,B96233419,2795.1,ABIERTO,2026-05-26
PO-2026-0708,P010,B98455101,4549.6,ABIERTO,2026-07-08
PO-2026-0710,P007,J40112358,1040.6,ABIERTO,2026-03-30
PO-2026-0711,P009,A46311208,6195.2,ABIERTO,2026-06-05
PO-2026-0712,P011,B90233808,520.3,ABIERTO,2026-07-19
PO-2026-0713,P006,A46990201,2262.7,ABIERTO,2026-07-02
PO-2026-0715,P001,B46102331,8100.1,ABIERTO,2026-04-03
PO-2026-0716,P004,B98120774,3690.5,ABIERTO,2026-06-23
PO-2026-0801,P011,B90233808,2081.2,ABIERTO,2026-05-15
PO-2026-0802,P007,J40112358,4295.1,ABIERTO,2026-03-22
PO-2026-0803,P006,A46990201,1076.9,ABIERTO,2026-06-04
PO-2026-0804,P001,B46102331,3025,ABIERTO,2026-04-18
PO-2026-0805,P009,A46311208,7502,ABIERTO,2026-05-24
PO-2026-0807,P010,B98455101,1754.5,ABIERTO,2026-07-03
PO-2026-0808,P005,B96233419,2480.5,ABIERTO,2026-04-27
PO-2026-0809,P002,A41220987,943.8,ABIERTO,2026-03-07
PO-2026-0810,P008,B91455230,1403.6,ABIERTO,2026-05-30
PO-2026-0811,P003,B30455812,2662,ABIERTO,2026-06-15
PO-2026-0812,P004,B98120774,1149.5,ABIERTO,2026-07-11
PO-2026-0813,P011,B90233808,2541,ABIERTO,2026-05-08
PO-2026-0814,P007,J40112358,2020.7,ABIERTO,2026-04-08
PO-2026-0815,P002,A41220987,6540.9,ABIERTO,2026-06-26
PO-2026-0816,P006,A46990201,3388,ABIERTO,2026-07-20
PO-2026-0717,P001,B46102331,1984.4,ABIERTO,2026-03-04
PO-2026-0718,P004,B98120774,1113.2,ABIERTO,2026-04-11
PO-2026-0719,P002,A41220987,3000.8,ABIERTO,2026-06-19
PO-2026-0721,P003,B30455812,919.6,ABIERTO,2026-05-18
PO-2026-0723,P011,B90233808,1560.9,ABIERTO,2026-07-14
PO-2026-0724,P009,A46311208,6425.1,ABIERTO,2026-06-02
PO-2026-0725,P010,B98455101,2274.8,ABIERTO,2026-07-12
PO-2026-0726,P005,B96233419,2480.5,ABIERTO,2026-04-29
PO-2026-0728,P004,B98120774,774.4,ABIERTO,2026-03-22
PO-2026-0729,P008,B91455230,3000.8,ABIERTO,2026-05-15
PO-2026-0730,P007,J40112358,477.95,ABIERTO,2026-04-06
PO-2026-0731,P003,B30455812,2262.7,ABIERTO,2026-06-11
PO-2026-0732,P011,B90233808,2480.5,ABIERTO,2026-07-06
PO-2026-1201,P001,B46102331,1718.2,ABIERTO,2026-03-12
PO-2026-1202,P002,A41220987,2637.8,ABIERTO,2026-04-08
PO-2026-1204,P006,A46990201,3944.6,ABIERTO,2026-06-30
PO-2026-1205,P003,B30455812,3025,ABIERTO,2026-04-17
PO-2026-1206,P010,B98455101,1427.8,ABIERTO,2026-07-09
